nocturne,5.3,49.0,0.7
jax,5.3,49.2,0.3
bard,5.3,47.9,0.1
ivern,5.2,55.8,4.2
kennen,5.2,48.1,0.7
leona,5.0,49.6,0.1
xerath,4.9,51.5,0.2
zilean,4.9,51.8,0.1
rumble,4.9,50.4,0.2
malphite,4.8,50.7,0.3
velkoz,4.8,49.5,0.1
renekton,4.7,51.1,0.2
braum,4.7,45.2,0.2
talon,4.7,55.3,0.4
alistar,4.6,47.2,0.3
pantheon,4.5,53.4,0.7
taliyah,4.4,48.7,0.1
sivir,4.3,48.7,0.0
fizz,4.3,50.0,1.1
annie,4.3,53.9,0.3
kled,4.2,50.2,0.5
wukong,3.9,50.6,0.1
gragas,3.9,48.9,0.1
shen,3.8,47.7,0.1
kalista,3.7,48.2,0.1
swain,3.7,51.7,0.2
jarvaniv,3.5,46.9,0.1
tryndamere,3.5,50.7,0.2
sona,3.4,52.0,0.0
olaf,3.4,48.5,0.2
kayle,3.2,52.3,0.2
kassadin,3.2,47.7,0.1
veigar,3.2,46.9,0.1
masteryi,3.1,43.5,0.4
tahmkench,3.1,45.9,0.1
lissandra,2.9,47.8,0.0
akali,2.9,51.4,0.4
sion,2.9,50.2,0.0
nidalee,2.9,45.0,0.3
anivia,2.8,50.2,0.1
illaoi,2.6,48.0,0.5
teemo,2.6,48.0,0.2
trundle,2.5,48.0,0.1
taric,2.5,50.9,0.0
quinn,2.4,55.2,0.1
nasus,2.4,48.3,0.1
diana,2.1,46.9,0.1
rammus,2.1,50.4,0.1
tristana,2.1,47.0,0.0
karthus,1.9,52.4,0.1
kogmaw,1.9,54.2,0.1
aurelionsol,1.7,56.8,0.2
mordekaiser,1.7,52.0,0.2
shyvana,1.7,46.3,0.1
azir,1.7,43.5,0.1
garen,1.6,45.0,0.4
amumu,1.6,47.2,0.1
vladimir,1.6,47.4,0.1
fiddlesticks,1.6,47.9,0.1
gnar,1.5,41.4,0.0
xinzhao,1.4,51.2,0.0
yorick,1.4,47.9,0.1
skarner,1.2,49.7,0.1
sejuani,1.1,47.2,0.0
kindred,1.0,47.3,0.0
drmundo,0.9,47.9,0.1
chogath,0.8,41.4,0.1
udyr,0.8,49.5,0.0
aatrox,0.7,50.0,0.8
urgot,0.7,48.2,0.1
volibear,0.6,46.5,0.0
galio,0.6,45.0,0.1
heimerdinger,0.6,50.3,0.1
nunu,0.6,46.2,0.1
